10,0.0000028,0.0000076,0.0000037
60,0.0000230,0.0000269,0.0000207
110,0.0000737,0.0000469,0.0000409
160,0.0001593,0.0000670,0.0000653
210,0.0002166,0.0000818,0.0000761
260,0.0003162,0.0001067,0.0001056
310,0.0005103,0.0001417,0.0001405
360,0.0005355,0.0001293,0.0001543
410,0.0007342,0.0001404,0.0001752
460,0.0013891,0.0002050,0.0001768
510,0.0017596,0.0002082,0.0001959
560,0.0014765,0.0001999,0.0002651
610,0.0019370,0.0002371,0.0002815
660,0.0022556,0.0002334,0.0003008
710,0.0028482,0.0002455,0.0003156
760,0.0029105,0.0002523,0.0003345
810,0.0030107,0.0002591,0.0003471
860,0.0032621,0.0002710,0.0003997
910,0.0055645,0.0004126,0.0004037
960,0.0057715,0.0004102,0.0003897
