10,0.0000023,0.0000079,0.0000035
60,0.0000194,0.0000221,0.0000202
110,0.0000604,0.0000361,0.0000400
160,0.0001269,0.0000529,0.0000667
210,0.0001931,0.0000648,0.0000834
260,0.0003144,0.0000799,0.0001075
310,0.0005135,0.0001110,0.0001379
360,0.0005368,0.0001231,0.0001529
410,0.0007376,0.0001456,0.0001668
460,0.0013911,0.0002007,0.0001866
510,0.0017591,0.0002042,0.0001964
560,0.0014809,0.0001976,0.0002676
610,0.0021222,0.0002349,0.0002858
660,0.0023415,0.0002367,0.0002959
710,0.0028345,0.0002505,0.0003315
760,0.0028885,0.0002531,0.0003485
810,0.0029731,0.0002612,0.0003597
860,0.0031907,0.0002680,0.0003998
910,0.0053525,0.0004040,0.0003987
960,0.0048988,0.0004073,0.0004264
