10,0.0000015,0.0000095,0.0000038
60,0.0000178,0.0000287,0.0000193
110,0.0000598,0.0000491,0.0000406
160,0.0001274,0.0000718,0.0000662
210,0.0001824,0.0000843,0.0000777
260,0.0003170,0.0001089,0.0001067
310,0.0005138,0.0001419,0.0001370
360,0.0005472,0.0001283,0.0001564
410,0.0007269,0.0001433,0.0001739
460,0.0014211,0.0002042,0.0001727
510,0.0017514,0.0002036,0.0001940
560,0.0014893,0.0001990,0.0002540
610,0.0019461,0.0002346,0.0002816
660,0.0022517,0.0002390,0.0003061
710,0.0028303,0.0002445,0.0003299
760,0.0029102,0.0002551,0.0003318
810,0.0029992,0.0002696,0.0003537
860,0.0032282,0.0002703,0.0003719
910,0.0055146,0.0004111,0.0004084
960,0.0057964,0.0004153,0.0003864
